Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
777-7765,229,0,69.2,222,22.211,2116.11,200,22.119,2112.2,1111,11.211,6.11,11,2.2,2,False
989-5777,22,1111,96.6,119,26.22,11211.2,911,26.112,2611.11,222,2.1111,6.2,2,2.62,2,True
987-7778,2119,20,222.6,202,116.211,21111.2,2112,29.911,262.11,2112,2.1111,22.11,22,2.0,0,False
985-5687,22,0,2211.11,222,211.211,226.11,22,22.211,2119.2,1111,211.02,9.9,6,2.62,11,False
977-9585,110,0,21111.2,206,211.1111,262.2,206,211.22,2211.2,220,20.211,22.2,11,11.26,2,False
755-5889,222,211,229.2,222,211.211,262.11,2211,211.112,220.11,2211,9.92,2.6,2,2.011,11,False
775-7758,220,0,229.11,2112,211.22,262.2,911,211.92,292.2,222,211.26,11.2,2,2.29,2,False
985-5888,99,0,290.2,202,112.112,21111.2,202,211.22,222.11,92,22.22,22.2,2,11.02,2,False
767-7777,266,0,2112.2,2011,110.112,21111.11,112,22.112,222.11,92,11.011,22.6,6,11.211,2,False
758-7679,222,0,2112.2,2211,211.69,2112.2,202,211.911,21111.2,911,22.29,11.11,11,2.211,2,False
777-7557,22,0,21111.2,226,26.22,2211.2,611,22.26,2112.2,92,22.1111,11.2,2,2.29,0,False
955-7977,222,0,229.9,911,211.211,2116.2,220,22.22,222.2,92,9.112,211.11,211,11.119,2,False
799-7865,1111,0,222.11,2112,112.29,2112.11,202,29.611,2211.11,211,20.06,22.0,2,2.92,11,False
777-9879,116,26,229.2,222,211.2,2112.11,2211,22.2,2112.2,112,11.92,6.2,2,2.112,0,False
778-6987,202,0,21111.11,2011,119.211,222.6,2112,211.112,226.9,206,6.62,22.11,11,11.26,0,False
978-9765,26,0,202.2,200,112.22,292.6,2119,22.112,222.11,2011,20.99,20.11,2,2.112,0,False
759-5967,2611,0,222.9,226,22.29,209.11,611,22.1111,2211.2,226,20.211,0.0,0,0.0,2,False
775-7586,2110,0,2110.2,229,211.112,2110.11,99,29.119,2116.11,26,11.1111,22.11,2,11.112,2,False
987-8776,211,0,2011.9,229,1111.112,2112.2,2112,22.211,2110.2,220,22.62,22.11,2,11.26,0,False
988-6996,1111,0,292.9,92,112.62,2116.2,220,22.22,2011.2,202,9.22,22.11,6,11.116,2,True
785-7688,92,0,2110.2,2211,22.22,260.6,222,22.211,222.2,911,20.99,9.2,2,2.112,2,True
775-6979,229,1111,229.6,202,20.1111,2211.2,1111,211.69,2611.2,2211,22.1111,11.9,2,2.119,2,False
778-7655,211,0,2211.6,911,26.112,222.6,226,9.22,2110.6,220,22.211,11.2,2,2.22,2,False
757-7595,262,0,2116.2,222,26.112,2110.11,611,211.1111,229.6,2211,11.011,22.2,9,11.0,2,False
799-6786,911,116,2211.2,2112,110.1111,2211.6,202,211.211,226.11,112,11.22,11.0,2,2.26,2,False
758-7567,222,0,222.11,911,110.211,2112.2,211,22.211,2110.11,2211,11.22,22.9,11,11.22,2,False
777-9975,211,0,222.11,62,1111.92,2011.6,229,11.911,2211.9,611,2.92,9.2,2,2.62,2,True
797-9878,911,0,2211.2,92,29.211,222.2,209,20.22,211.11,911,11.22,2.11,2,2.011,2,False
767-7865,226,211,222.11,202,29.211,290.11,2011,26.211,220.2,222,20.112,22.6,2,11.2,11,False
797-8967,222,211,2112.2,202,22.22,2211.2,119,29.211,2112.9,222,22.112,2.11,11,2.011,2,False
779-9957,911,0,226.9,62,116.112,202.2,220,22.611,222.2,220,9.911,22.11,11,2.211,2,True
799-7788,209,26,222.2,21111,116.92,2211.11,222,22.112,2110.2,26,22.611,9.11,11,2.112,0,False
775-8877,110,0,206.11,92,1111.02,2112.9,911,211.22,2611.6,112,22.116,22.2,22,11.1111,0,False
988-9795,22,0,2119.11,66,22.011,2211.9,211,20.2,262.9,26,22.29,22.2,11,11.0,2,False
786-7677,2116,112,2211.2,1111,22.1111,2116.6,611,20.22,222.11,220,20.211,22.2,11,11.011,2,False
977-5589,92,0,2112.0,222,26.211,1129.11,1111,211.011,21111.0,222,22.96,11.6,2,2.112,11,True
796-7795,2211,22,2116.6,69,112.22,222.0,226,211.112,2112.9,21111,20.112,22.6,11,11.211,2,False
777-5689,2211,26,220.11,222,29.02,299.11,2211,26.96,269.2,911,2.62,9.6,11,2.119,11,True
985-7895,2911,22,222.0,202,22.011,202.9,112,22.211,2011.2,229,9.211,22.11,11,11.112,2,False
766-6795,211,0,2911.11,92,1111.22,229.11,202,211.22,226.2,112,6.1111,22.11,11,2.0,11,False
777-9795,62,0,222.11,202,29.1111,202.11,92,22.22,220.11,90,20.112,9.2,11,2.26,2,False
758-6778,110,110,222.2,22,116.96,2211.11,116,211.22,222.2,202,20.22,6.6,11,2.211,0,False
788-7757,60,29,2611.9,2211,211.2,2211.11,92,211.112,2011.2,112,2.116,22.0,22,11.211,0,True
775-7976,2211,22,911.6,2112,211.92,2911.11,22,26.22,222.9,112,6.112,22.11,11,2.211,2,False
756-7567,96,0,911.2,200,26.69,1102.2,1111,26.22,2112.11,220,11.22,2.6,2,2.011,2,False
955-6685,112,0,222.2,611,116.11,21111.6,21111,211.211,2211.2,222,11.1111,9.2,2,2.112,2,False
776-7898,112,0,2611.2,92,211.119,222.2,200,29.2,269.11,99,2.611,22.9,11,11.211,2,False
797-5895,22,0,202.9,92,112.29,21111.11,202,211.02,2211.11,92,11.22,9.0,11,2.211,11,False
